Roll,Filename,DateTime,Encounter,Cluster,Males,Adults,Calves,total,GPSDateTime,LAT,LONG,DatelTime...GPSTime,Year,Month,Day,Time,Hour,Min,Sec,TrueTime,Date
DSWP16,20160417_141549,17/04/16 14:15:49,20,201620003,0,1,1,2,,,,,2016,4,17,1415,14,15,49,14:15:49,4/17/2016
DSWP16,20160417_141633_2,17/04/16 14:16:33,20,201620004,0,8,1,9,,,,,2016,4,17,1416,14,16,33,14:16:33,4/17/2016
DSWP16,20160417_141810,17/04/16 14:18:10,20,201620005,0,1,0,1,,,,,2016,4,17,1418,14,18,10,14:18:10,4/17/2016
DSWP16,20160417_143403,17/04/16 14:34:03,20,201620006,0,4,1,5,,,,,2016,4,17,1434,14,34,3,14:34:03,4/17/2016
DSWP16,20160417_144350,17/04/16 14:43:50,20,201620007,0,4,1,5,,,,,2016,4,17,1443,14,43,50,14:43:50,4/17/2016
DSWP16,20160417_145007,17/04/16 14:50:07,20,201620008,0,2,0,2,,,,,2016,4,17,1450,14,50,7,14:50:07,4/17/2016
DSWP16,20160417_145950,17/04/16 14:59:50,20,201620009,0,7,0,7,,,,,2016,4,17,1459,14,59,50,14:59:50,4/17/2016
DSWP16,20160417_151715_2,17/04/16 15:17:15,20,201620012,0,8,1,9,,,,,2016,4,17,1517,15,17,15,15:17:15,4/17/2016
DSWP16,20160417_152122,17/04/16 15:21:22,20,201620010,0,1,0,1,,,,,2016,4,17,1521,15,21,22,15:21:22,4/17/2016
DSWP16,20160417_152218,17/04/16 15:22:18,20,201620011,0,1,0,1,,,,,2016,4,17,1522,15,22,18,15:22:18,4/17/2016
DSWP16,20160417_154209,17/04/16 15:42:09,20,201620012,0,8,1,9,,,,,2016,4,17,1542,15,42,9,15:42:09,4/17/2016
DSWP16,20160419_113314,19/04/16 11:33:14,21,201621001,0,2,1,3,,,,,2016,4,19,1133,11,33,14,11:33:14,4/19/2016
DSWP16,20160419_113354b,19/04/16 11:33:54,21,201621002,0,0,1,1,,,,,2016,4,19,1133,11,33,54,11:33:54,4/19/2016
DSWP16,20160419_122641b,19/04/16 12:26:41,21,201621003,0,2,1,3,,,,,2016,4,19,1226,12,26,41,12:26:41,4/19/2016
DSWP16,20160419_123810b,19/04/16 12:38:10,21,201621004,0,1,0,1,,,,,2016,4,19,1238,12,38,10,12:38:10,4/19/2016
DSWP16,20160420_124637,20/04/16 12:46:37,22,201622001,0,1,0,1,,,,,2016,4,20,1246,12,46,37,12:46:37,4/20/2016
DSWP16,20160420_131008,20/04/16 13:10:08,22,201622002,0,2,1,3,,,,,2016,4,20,1310,13,10,8,13:10:08,4/20/2016
DSWP16,20160420_133348,20/04/16 13:33:48,22,201622003,0,1,1,2,,,,,2016,4,20,1333,13,33,48,13:33:48,4/20/2016
DSWP16,20160420_140706,20/04/16 14:07:06,22,201622004,0,1,1,2,,,,,2016,4,20,1407,14,7,6,14:07:06,4/20/2016
DSWP16,20160420_140738,20/04/16 14:07:38,22,201622005,0,1,1,2,,,,,2016,4,20,1407,14,7,38,14:07:38,4/20/2016
DSWP16,20160420_145825,20/04/16 14:58:25,22,201622006,0,4,0,4,,,,,2016,4,20,1458,14,58,25,14:58:25,4/20/2016
DSWP16,20160420_150651,20/04/16 15:06:51,22,201622007,0,1,1,2,,,,,2016,4,20,1506,15,6,51,15:06:51,4/20/2016
DSWP16,20160420_150839,20/04/16 15:08:39,22,201622008,0,4,1,5,,,,,2016,4,20,1508,15,8,39,15:08:39,4/20/2016
DSWP16,20160420_152151,20/04/16 15:21:51,22,201622009,0,1,0,1,,,,,2016,4,20,1521,15,21,51,15:21:51,4/20/2016
DSWP16,20160420_155159,20/04/16 15:51:59,22,201622010,0,1,1,2,,,,,2016,4,20,1551,15,51,59,15:51:59,4/20/2016
DSWP16,20160420_160051,20/04/16 16:00:51,22,201622011,0,2,1,3,,,,,2016,4,20,1600,16,0,51,16:00:51,4/20/2016
DSWP16,20160420_163547,20/04/16 16:35:47,22,201622012,0,1,1,2,,,,,2016,4,20,1635,16,35,47,16:35:47,4/20/2016
DSWP16,20160420_164603,20/04/16 16:46:03,22,201622013,0,1,0,1,,,,,2016,4,20,1646,16,46,3,16:46:03,4/20/2016
DSWP16,20160422_113639,22/04/16 11:36:39,23,201623001,0,1,0,1,,,,,2016,4,22,1136,11,36,39,11:36:39,4/22/2016
DSWP16,20160422_115614,22/04/16 11:56:14,23,201623002,0,1,0,1,,,,,2016,4,22,1156,11,56,14,11:56:14,4/22/2016
DSWP16,20160422_124552,22/04/16 12:45:52,23,201623003,0,1,0,1,,,,,2016,4,22,1245,12,45,52,12:45:52,4/22/2016
DSWP16,20160422_130648,22/04/16 13:06:48,23,201623004,0,1,0,1,,,,,2016,4,22,1306,13,6,48,13:06:48,4/22/2016
DSWP16,20160422_133851,22/04/16 13:38:51,23,201623005,0,1,0,1,,,,,2016,4,22,1338,13,38,51,13:38:51,4/22/2016
DSWP16,20160422_135521,22/04/16 13:55:21,23,201623006,0,1,0,1,,,,,2016,4,22,1355,13,55,21,13:55:21,4/22/2016
